OrderLineID,TransactionID,ProductID,Quantity,UnitPrice,Discount,LineTotal
"OL-1","TRN-9001","P202","1","65","0","65"
"OL-2","TRN-9001","C303","1","60","0","60"
"OL-3","TRN-9001","P201","1","70","0","70"
"OL-4","TRN-9002","C302","3","50","0",""
"OL-5","TRN-9003","C302","1","50","0","50"
"OL-6"," TRN-9004 ","","2","55","0","110"
"OL-7","TRN-9005","P103","3","95","0.05","270.75"
"OL-8","TRN-9005","C303","1","60","0.05","57"
"OL-9","TRN-9005"," P201 ","3","70","0.05","199.5"
"OL-10","TRN-9005","P103","3","95","0.05","270.75"
"#N/A","TRN-9006","P102","3","80","0.05","228"
"OL-12","TRN-9007","P203","1","68","0","68"
"OL-13","TRN-9007","P102","3","80","0","240"
"OL-14","TRN-9008","C303","2","60","0","120"
"OL-15","TRN-9008","P202","1","65","0","65"
"OL-16","TRN-9009","P202","2","65","0.05","123.5"
"OL-17","TRN-9009","C304","3","58","0.05","165.3"
"OL-18","TRN-9009","C301","1","55","0.05","52.25"
"OL-19","TRN-9010","P201","1","70","0.1","63"
"OL-20","TRN-9010","P202","1","65","0.1","58.5"
" OL-21 ","","C301","3","55","0.1","148.5"
"OL-22","TRN-9011","P103","2","95","0","190"
"OL-23","TRN-9011","C302","3","50","0","150"
"OL-24","TRN-9011","P201","2","70","0","140"
"OL-25","TRN-9011","","1","58","0","58"
"OL-26","TRN-9012","C301","2","55","0","110"
"OL-27","TRN-9012","P101","3","85","0","255"
"OL-27","TRN-9012","P101","3","85","0","255"
"OL-29","TRN-9012","P203","2","68","0","136"
"OL-30","TRN-9013","C303","2","60","0","120"
"OL-31","TRN-9013","C304","3","58","0","174"
"OL-32","TRN-9013","P203","1","68","","68"
"OL-33","TRN-9013","P201","1","70","0","70"
"OL-34","TRN-9014","P103","2","95","0.05","180.5"
"OL-35","TRN-9014"," P103 ","3","95","0.05","270.75"
"OL-36","TRN-9014","P202","3","65","0.05","185.25"
"OL-37","TRN-9014","C303","2","","0.05","114"
"OL-38","TRN-9015","C303","3","60","0","180"
"OL-39","TRN-9015","C301","3","55","0",""
"OL-40","TRN-9015","P203","1","68","0","68"
"OL-41","TRN-9016","P103","1","95","0","95"
"OL-42","TRN-9016","P103","2","95","0","190"
"OL-43","TRN-9016","C304","2","58","0","116"
"OL-44","TRN-9017","P101","3","85","0.15","216.75"
"OL-45","TRN-9017","P102","2","80","0.15","136"
"OL-46","TRN-9017","C304","3","58","0.15","147.9"
"OL-47","TRN-9018","P201","2","70","","126"
"OL-48","TRN-9019","P202","2","","0","130"
"OL-49","TRN-9019","P103","1","95","0","95"
"OL-50","TRN-9019","C304","2","58","0","116"
