TransactionID,Date,CustomerID,StoreID,EmployeeID,PromotionID,PaymentMethod,TotalAmount
" TRN-9001 ","2023-12-14","CUST-1160","STO-04","EMP-0404","PROMO-00","Cash","195"
"TRN-9002","2025-03-04","CUST-1149","STO-02","EMP-0204"," PROMO-00 ","Debit Card","150"
"TRN-9003","2023-12-21","CUST-1392","STO-03","EMP-0302","PROMO-00","Cash","50"
"TRN-9004","2022-03-19","CUST-1017","STO-04","EMP-0404"," PROMO-00 ","Cash","110"
"TRN-9005","2022-05-24","CUST-1340","STO-02","EMP-0201","PROMO-03","Mobile Payment","798"
"","2023-08-17","CUST-1273","STO-03","EMP-0304","PROMO-03","Cash","228"
"TRN-9007","2022-07-23","CUST-1176","STO-04","#N/A","PROMO-00","Credit Card","308"
"TRN-9008","2022-01-15","CUST-1339","STO-03","EMP-0303","PROMO-00","Debit Card","185"
"TRN-9009","2023-07-31","CUST-1007"," STO-02 ","EMP-0201","PROMO-03","","341.05"
"TRN-9010","2022-04-08","CUST-1031","STO-03","EMP-0305","PROMO-02"," Credit Card ","270"
"TRN-9010","2022-04-08","CUST-1031","STO-03","EMP-0305","PROMO-02","Credit Card","270"
"TRN-9012","2024-05-03","CUST-1228","STO-01","","PROMO-00","Credit Card","651"
"TRN-9013","2024-01-06","CUST-1235","STO-02"," EMP-0205 ","PROMO-00"," Debit Card ","432"
"TRN-9014","2024-12-17","CUST-1121","STO-04","EMP-0401","PROMO-03","Debit Card","750.5"
"TRN-9015","2024-09-24","CUST-1161","STO-03","EMP-0303","PROMO-00","Debit Card","413"
"TRN-9016","2025-12-28","CUST-1050","STO-04","EMP-0402","PROMO-00","Debit Card","401"
"TRN-9017","2024-11-18","CUST-1321","STO-03","EMP-0304"," PROMO-01 ","Credit Card","500.65"
"TRN-9018","2024-10-28","CUST-1100","STO-02","EMP-0205","PROMO-02","Debit Card","126"
"TRN-9019"," 2024-05-26 ","CUST-1075","STO-01","EMP-0103","PROMO-00","Debit Card","521"
"TRN-9020","2023-12-08","CUST-1316","","EMP-0402","PROMO-01","Mobile Payment","246.5"
"TRN-9021","2022-07-30","CUST-1107","STO-01","EMP-0102","PROMO-00","Credit Card","505"
"TRN-9022","2023-02-06","CUST-1095","STO-03","EMP-0305","PROMO-00","Credit Card","834"
" TRN-9023 ","2024-07-04"," CUST-1358 ","STO-02","EMP-0204","PROMO-00"," Mobile Payment ","230"
"TRN-9024","2023-01-04","CUST-1216","STO-04","EMP-0402","PROMO-00","Mobile Payment","430"
"TRN-9025","2022-06-12","CUST-1224","STO-04","EMP-0404","PROMO-01","Cash","476"
"TRN-9026","2022-09-17","CUST-1273","STO-04","EMP-0401","PROMO-03"," Credit Card ","491.15"
"TRN-9027","2024-10-25","CUST-1053","STO-03","EMP-0303","PROMO-00","Credit Card","620"
"TRN-9027","2024-10-25","CUST-1053","STO-03","EMP-0303","PROMO-00","Credit Card","620"
"TRN-9029","2022-04-23","CUST-1036","STO-04","EMP-0401","PROMO-03","Mobile Payment","475"
"TRN-9030","2024-05-04","","","EMP-0401"," PROMO-00 ","Credit Card","678"
"TRN-9031","2024-05-26","CUST-1022","STO-01","EMP-0103","PROMO-00","","430"
"#N/A","2026-01-23","CUST-1271","STO-02","EMP-0204","PROMO-01","Mobile Payment","518.5"
"TRN-9033","","CUST-1375","STO-04","EMP-0402","PROMO-03","","408.5"
"TRN-9034","2023-12-01","CUST-1159","STO-01","EMP-0101","PROMO-01","Credit Card","119"
"TRN-9035","2022-10-19","CUST-1287","STO-02","EMP-0202","PROMO-00","Mobile Payment","363"
"TRN-9036","2022-03-22","CUST-1360","STO-01","EMP-0101","PROMO-00","Debit Card","195"
"TRN-9037","2023-02-19","CUST-1125","STO-01","EMP-0102","PROMO-03","Debit Card","422.75"
"#N/A","2024-08-03","CUST-1148","STO-04","EMP-0401","PROMO-00","Credit Card","434"
"TRN-9039","2023-10-31","CUST-1287","STO-01","EMP-0105"," PROMO-03 ","Mobile Payment","521.55"
"TRN-9040","2025-10-26","CUST-1293","STO-01","EMP-0102","PROMO-01","Mobile Payment","284.75"
"TRN-9041","2023-12-25","CUST-1208","","EMP-0101","PROMO-00","Cash","561"
"TRN-9042","2022-05-26","CUST-1220","STO-02","EMP-0204","PROMO-00","Cash","204"
"TRN-9043","2023-04-09","CUST-1203","STO-04","EMP-0401","PROMO-00","Debit Card","255"
"TRN-9044","2025-01-15","CUST-1008","STO-02","EMP-0202","PROMO-01","Debit Card","565.25"
"TRN-9045","2024-07-27","CUST-1330","STO-04","EMP-0403","PROMO-00","Debit Card","204"
"TRN-9046","2024-08-10","CUST-1390","STO-02"," EMP-0205 ","PROMO-00","Mobile Payment","230"
"TRN-9047","2022-02-25","CUST-1246","STO-01","EMP-0104","PROMO-00","Cash","455"
"TRN-9048","2026-02-25","CUST-1143","STO-02","EMP-0201","PROMO-00","Mobile Payment","230"
"TRN-9049","2024-01-12","CUST-1134","STO-02","EMP-0204","PROMO-02","Cash","378"
"TRN-9050","2026-03-18","CUST-1156","STO-04","EMP-0401","PROMO-00","Cash","665"
"TRN-9051","2025-11-14","CUST-1298","STO-01","EMP-0103","","Credit Card","405"
"TRN-9052","2023-05-16","CUST-1343","STO-04","EMP-0405","PROMO-03","Debit Card","356.25"
"TRN-9053","2026-03-30","CUST-1203","STO-02","EMP-0204","PROMO-00","Credit Card","455"
"TRN-9054","2025-09-03","CUST-1151","STO-03","EMP-0305","PROMO-03","Mobile Payment","427.5"
"TRN-9055","2023-06-22","CUST-1081","STO-02","EMP-0203","PROMO-00","Debit Card","340"
"TRN-9056","2025-03-16","CUST-1221","STO-03","EMP-0304","PROMO-00","Debit Card","60"
"TRN-9057","2025-04-05","CUST-1229","STO-01","EMP-0104","PROMO-00","Cash","475"
"TRN-9058","2025-02-05","","","EMP-0101","PROMO-03","Cash","317.3"
"TRN-9059","2024-12-04","CUST-1167","STO-04","EMP-0401","PROMO-00","Credit Card","583"
"TRN-9060","2024-05-12","CUST-1186","STO-02"," EMP-0204 ","PROMO-01","Cash","144.5"
"TRN-9061","2022-09-13","CUST-1276","STO-03","EMP-0303","PROMO-03"," Credit Card ","319.2"
"","2024-07-28"," CUST-1195 "," STO-04 ","EMP-0404","PROMO-00","","365"
"TRN-9063","2025-06-04","CUST-1086","STO-04","EMP-0404","PROMO-00","Debit Card","500"
"TRN-9064","2025-06-21","CUST-1235","STO-02","EMP-0203","PROMO-03","Credit Card","370.5"
"TRN-9065","2022-12-18","CUST-1397","STO-04","EMP-0401","PROMO-00","Credit Card","370"
"TRN-9066","2024-11-30","CUST-1286","STO-04","EMP-0404","PROMO-01","Cash","174.25"
"TRN-9067","2025-02-16","CUST-1230","STO-01"," EMP-0102 ","PROMO-01"," Cash ","504.05"
"TRN-9068"," 2022-06-17 ","CUST-1059","STO-04","EMP-0404","PROMO-00","Credit Card","595"
"TRN-9069","2024-11-09","CUST-1030","STO-01","EMP-0103"," PROMO-00 ","Credit Card","240"
" TRN-9070 ","2023-05-12"," CUST-1111 ","STO-01","EMP-0102","PROMO-00","Cash","285"
"TRN-9071","2024-12-02","CUST-1092","STO-03","EMP-0303","PROMO-00","Cash","680"
"TRN-9072","2025-07-21"," CUST-1270 ","STO-01","EMP-0105","PROMO-00","Debit Card","110"
"TRN-9073","2024-07-07","CUST-1274","STO-04","EMP-0401","PROMO-00","Debit Card","260"
"TRN-9074","2022-08-24","CUST-1130","STO-04","EMP-0403","PROMO-00","Credit Card","60"
"TRN-9075","2023-12-19","CUST-1170","","EMP-0103","PROMO-00","Credit Card","609"
"TRN-9076","2025-03-05","CUST-1037","STO-04","EMP-0403","PROMO-02","Mobile Payment","203.4"
"TRN-9077","2022-07-31","CUST-1064","STO-03","EMP-0303","PROMO-00","#N/A","335"
"TRN-9078","2024-10-28","CUST-1308"," STO-01 ","EMP-0103","PROMO-00","Credit Card","435"
"TRN-9079","2022-08-03","CUST-1044","#N/A","EMP-0101","PROMO-00"," Debit Card ","345"
"TRN-9080","2025-10-29","CUST-1330","STO-04","EMP-0405","PROMO-00","","519"
"TRN-9081","2024-12-16","CUST-1137","STO-04","EMP-0402","PROMO-00","Debit Card","85"
